job_card_date,BAJAJ_AVENGER_STREET_220_3M_OIL_Weekly_Count
2017-06-04,4
2017-06-11,4
2017-06-18,2
2017-06-25,2
2017-07-02,1
2017-07-09,3
2017-07-16,0
2017-07-23,3
2017-07-30,3
2017-08-06,4
2017-08-13,2
2017-08-20,3
2017-08-27,3
2017-09-03,4
2017-09-10,3
2017-09-17,4
2017-09-24,2
2017-10-01,0
2017-10-08,8
2017-10-15,2
2017-10-22,2
2017-10-29,0
2017-11-05,4
2017-11-12,6
2017-11-19,2
2017-11-26,4
2017-12-03,2
2017-12-10,2
2017-12-17,4
2017-12-24,4
2017-12-31,2
2018-01-07,1
2018-01-14,2
2018-01-21,2
2018-01-28,3
2018-02-04,3
2018-02-11,2
2018-02-18,4
2018-02-25,0
2018-03-04,6
2018-03-11,3
2018-03-18,5
2018-03-25,2
2018-04-01,1
2018-04-08,3
2018-04-15,5
2018-04-22,4
2018-04-29,1
2018-05-06,3
2018-05-13,0
2018-05-20,5
2018-05-27,2
2018-06-03,1
2018-06-10,2
2018-06-17,2
2018-06-24,3
2018-07-01,4
2018-07-08,5
2018-07-15,5
2018-07-22,1
2018-07-29,2
2018-08-05,4
2018-08-12,4
2018-08-19,3
2018-08-26,8
2018-09-02,1
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,0
2018-10-07,1
2018-10-14,3
2018-10-21,2
2018-10-28,5
2018-11-04,0
2018-11-11,0
2018-11-18,4
2018-11-25,5
2018-12-02,2
2018-12-09,1
2018-12-16,1
2018-12-23,1
