job_card_date,BAJAJ_AVENGER_STREET_220_BRAKE_SHOE_Weekly_Count
2017-06-11,3
2017-06-18,5
2017-06-25,1
2017-07-02,1
2017-07-09,3
2017-07-16,0
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,0
2017-08-20,0
2017-08-27,1
2017-09-03,2
2017-09-10,1
2017-09-17,1
2017-09-24,1
2017-10-01,1
2017-10-08,3
2017-10-15,4
2017-10-22,2
2017-10-29,0
2017-11-05,1
2017-11-12,1
2017-11-19,5
2017-11-26,5
2017-12-03,2
2017-12-10,2
2017-12-17,4
2017-12-24,0
2017-12-31,4
2018-01-07,2
2018-01-14,3
2018-01-21,1
2018-01-28,1
2018-02-04,5
2018-02-11,4
2018-02-18,2
2018-02-25,3
2018-03-04,3
2018-03-11,1
2018-03-18,1
2018-03-25,1
2018-04-01,1
2018-04-08,3
2018-04-15,1
2018-04-22,4
2018-04-29,1
2018-05-06,4
2018-05-13,2
2018-05-20,3
2018-05-27,3
2018-06-03,2
2018-06-10,2
2018-06-17,3
2018-06-24,2
2018-07-01,0
2018-07-08,2
2018-07-15,1
2018-07-22,3
2018-07-29,1
2018-08-05,3
2018-08-12,7
2018-08-19,3
2018-08-26,3
2018-09-02,3
2018-09-09,2
2018-09-16,2
2018-09-23,1
2018-09-30,1
2018-10-07,3
2018-10-14,2
2018-10-21,4
2018-10-28,3
2018-11-04,2
2018-11-11,0
2018-11-18,3
2018-11-25,2
2018-12-02,5
2018-12-09,1
2018-12-16,1
2018-12-23,4
2018-12-30,0
2019-01-06,1
