job_card_date,BAJAJ_AVENGER_STREET_220_CHAIN_LUBRICANT_Weekly_Count
2017-06-04,4
2017-06-11,7
2017-06-18,5
2017-06-25,5
2017-07-02,4
2017-07-09,7
2017-07-16,3
2017-07-23,7
2017-07-30,6
2017-08-06,6
2017-08-13,4
2017-08-20,6
2017-08-27,5
2017-09-03,7
2017-09-10,7
2017-09-17,7
2017-09-24,5
2017-10-01,5
2017-10-08,12
2017-10-15,5
2017-10-22,5
2017-10-29,0
2017-11-05,9
2017-11-12,9
2017-11-19,7
2017-11-26,10
2017-12-03,5
2017-12-10,8
2017-12-17,13
2017-12-24,8
2017-12-31,10
2018-01-07,7
2018-01-14,6
2018-01-21,6
2018-01-28,5
2018-02-04,8
2018-02-11,8
2018-02-18,9
2018-02-25,3
2018-03-04,7
2018-03-11,4
2018-03-18,6
2018-03-25,6
2018-04-01,2
2018-04-08,6
2018-04-15,12
2018-04-22,8
2018-04-29,4
2018-05-06,9
2018-05-13,2
2018-05-20,9
2018-05-27,6
2018-06-03,7
2018-06-10,6
2018-06-17,9
2018-06-24,6
2018-07-01,7
2018-07-08,8
2018-07-15,9
2018-07-22,8
2018-07-29,6
2018-08-05,7
2018-08-12,10
2018-08-19,8
2018-08-26,11
2018-09-02,3
2018-09-09,4
2018-09-16,3
2018-09-23,8
2018-09-30,3
2018-10-07,4
2018-10-14,9
2018-10-21,10
2018-10-28,7
2018-11-04,3
2018-11-11,0
2018-11-18,9
2018-11-25,14
2018-12-02,6
2018-12-09,3
2018-12-16,5
2018-12-23,9
2018-12-30,1
