job_card_date,BAJAJ_PULSAR_150_AIR_FILTER_Weekly_Count
2017-06-11,2
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,3
2017-07-23,4
2017-07-30,5
2017-08-06,1
2017-08-13,6
2017-08-20,3
2017-08-27,2
2017-09-03,4
2017-09-10,8
2017-09-17,7
2017-09-24,13
2017-10-01,5
2017-10-08,7
2017-10-15,7
2017-10-22,4
2017-10-29,0
2017-11-05,6
2017-11-12,7
2017-11-19,8
2017-11-26,9
2017-12-03,11
2017-12-10,7
2017-12-17,6
2017-12-24,9
2017-12-31,8
2018-01-07,5
2018-01-14,6
2018-01-21,11
2018-01-28,7
2018-02-04,6
2018-02-11,7
2018-02-18,3
2018-02-25,7
2018-03-04,7
2018-03-11,3
2018-03-18,5
2018-03-25,4
2018-04-01,6
2018-04-08,7
2018-04-15,6
2018-04-22,7
2018-04-29,8
2018-05-06,6
2018-05-13,10
2018-05-20,7
2018-05-27,3
2018-06-03,5
2018-06-10,6
2018-06-17,5
2018-06-24,4
2018-07-01,6
2018-07-08,12
2018-07-15,2
2018-07-22,13
2018-07-29,6
2018-08-05,9
2018-08-12,7
2018-08-19,7
2018-08-26,12
2018-09-02,5
2018-09-09,10
2018-09-16,11
2018-09-23,13
2018-09-30,9
2018-10-07,12
2018-10-14,12
2018-10-21,5
2018-10-28,9
2018-11-04,9
2018-11-11,2
2018-11-18,5
2018-11-25,6
2018-12-02,7
2018-12-09,10
2018-12-16,8
2018-12-23,13
2018-12-30,13
2019-01-06,10
