job_card_date,BAJAJ_PULSAR_150_BRAKE_SHOE_Weekly_Count
2017-06-11,6
2017-06-18,5
2017-06-25,6
2017-07-02,3
2017-07-09,2
2017-07-16,5
2017-07-23,3
2017-07-30,3
2017-08-06,1
2017-08-13,4
2017-08-20,2
2017-08-27,2
2017-09-03,6
2017-09-10,1
2017-09-17,5
2017-09-24,8
2017-10-01,2
2017-10-08,4
2017-10-15,4
2017-10-22,3
2017-10-29,0
2017-11-05,7
2017-11-12,4
2017-11-19,8
2017-11-26,5
2017-12-03,6
2017-12-10,3
2017-12-17,4
2017-12-24,3
2017-12-31,6
2018-01-07,4
2018-01-14,4
2018-01-21,3
2018-01-28,2
2018-02-04,2
2018-02-11,6
2018-02-18,2
2018-02-25,5
2018-03-04,2
2018-03-11,2
2018-03-18,1
2018-03-25,3
2018-04-01,8
2018-04-08,6
2018-04-15,4
2018-04-22,7
2018-04-29,6
2018-05-06,3
2018-05-13,7
2018-05-20,4
2018-05-27,1
2018-06-03,6
2018-06-10,7
2018-06-17,1
2018-06-24,3
2018-07-01,4
2018-07-08,6
2018-07-15,1
2018-07-22,11
2018-07-29,5
2018-08-05,5
2018-08-12,5
2018-08-19,5
2018-08-26,7
2018-09-02,3
2018-09-09,4
2018-09-16,4
2018-09-23,10
2018-09-30,6
2018-10-07,9
2018-10-14,7
2018-10-21,5
2018-10-28,6
2018-11-04,2
2018-11-11,2
2018-11-18,2
2018-11-25,1
2018-12-02,4
2018-12-09,2
2018-12-16,3
2018-12-23,7
2018-12-30,1
2019-01-06,1
