job_card_date,BAJAJ_PULSAR_180_3M_OIL_Weekly_Count
2017-06-04,1
2017-06-11,2
2017-06-18,3
2017-06-25,0
2017-07-02,1
2017-07-09,1
2017-07-16,4
2017-07-23,1
2017-07-30,0
2017-08-06,1
2017-08-13,3
2017-08-20,4
2017-08-27,0
2017-09-03,1
2017-09-10,4
2017-09-17,2
2017-09-24,0
2017-10-01,0
2017-10-08,1
2017-10-15,1
2017-10-22,4
2017-10-29,0
2017-11-05,5
2017-11-12,1
2017-11-19,1
2017-11-26,5
2017-12-03,0
2017-12-10,5
2017-12-17,2
2017-12-24,0
2017-12-31,2
2018-01-07,1
2018-01-14,1
2018-01-21,1
2018-01-28,0
2018-02-04,2
2018-02-11,3
2018-02-18,3
2018-02-25,5
2018-03-04,4
2018-03-11,1
2018-03-18,2
2018-03-25,3
2018-04-01,1
2018-04-08,3
2018-04-15,3
2018-04-22,0
2018-04-29,4
2018-05-06,0
2018-05-13,1
2018-05-20,1
2018-05-27,3
2018-06-03,3
2018-06-10,1
2018-06-17,1
2018-06-24,0
2018-07-01,1
2018-07-08,3
2018-07-15,4
2018-07-22,1
2018-07-29,2
2018-08-05,2
2018-08-12,1
2018-08-19,1
2018-08-26,3
2018-09-02,0
2018-09-09,1
2018-09-16,2
2018-09-23,1
2018-09-30,2
2018-10-07,1
2018-10-14,2
2018-10-21,2
2018-10-28,1
2018-11-04,1
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,3
2018-12-09,1
2018-12-16,1
2018-12-23,1
2018-12-30,2
