job_card_date,BAJAJ_PULSAR_NS_200_3M_OIL_Weekly_Count
2017-06-11,1
2017-06-18,1
2017-06-25,1
2017-07-02,0
2017-07-09,0
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,3
2017-08-13,2
2017-08-20,0
2017-08-27,1
2017-09-03,3
2017-09-10,0
2017-09-17,2
2017-09-24,4
2017-10-01,1
2017-10-08,2
2017-10-15,0
2017-10-22,1
2017-10-29,0
2017-11-05,3
2017-11-12,2
2017-11-19,2
2017-11-26,0
2017-12-03,1
2017-12-10,1
2017-12-17,2
2017-12-24,3
2017-12-31,3
2018-01-07,4
2018-01-14,1
2018-01-21,2
2018-01-28,0
2018-02-04,3
2018-02-11,0
2018-02-18,3
2018-02-25,2
2018-03-04,1
2018-03-11,2
2018-03-18,3
2018-03-25,4
2018-04-01,5
2018-04-08,2
2018-04-15,2
2018-04-22,3
2018-04-29,1
2018-05-06,4
2018-05-13,1
2018-05-20,3
2018-05-27,1
2018-06-03,3
2018-06-10,0
2018-06-17,5
2018-06-24,4
2018-07-01,2
2018-07-08,2
2018-07-15,3
2018-07-22,1
2018-07-29,1
2018-08-05,2
2018-08-12,1
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,0
2018-09-16,4
2018-09-23,6
2018-09-30,1
2018-10-07,3
2018-10-14,3
2018-10-21,2
2018-10-28,3
2018-11-04,6
2018-11-11,0
2018-11-18,3
2018-11-25,8
2018-12-02,3
2018-12-09,5
2018-12-16,1
2018-12-23,2
2018-12-30,9
2019-01-06,1
