job_card_date,BAJAJ_PULSAR_NS_200_CHAIN_LUBRICANT_Weekly_Count
2017-06-04,1
2017-06-11,3
2017-06-18,2
2017-06-25,2
2017-07-02,1
2017-07-09,1
2017-07-16,2
2017-07-23,2
2017-07-30,3
2017-08-06,3
2017-08-13,4
2017-08-20,1
2017-08-27,1
2017-09-03,3
2017-09-10,1
2017-09-17,2
2017-09-24,6
2017-10-01,1
2017-10-08,2
2017-10-15,2
2017-10-22,1
2017-10-29,0
2017-11-05,3
2017-11-12,5
2017-11-19,2
2017-11-26,0
2017-12-03,1
2017-12-10,3
2017-12-17,3
2017-12-24,4
2017-12-31,5
2018-01-07,5
2018-01-14,1
2018-01-21,4
2018-01-28,2
2018-02-04,3
2018-02-11,1
2018-02-18,4
2018-02-25,3
2018-03-04,2
2018-03-11,4
2018-03-18,6
2018-03-25,5
2018-04-01,5
2018-04-08,3
2018-04-15,2
2018-04-22,4
2018-04-29,2
2018-05-06,5
2018-05-13,2
2018-05-20,4
2018-05-27,3
2018-06-03,4
2018-06-10,1
2018-06-17,5
2018-06-24,5
2018-07-01,4
2018-07-08,3
2018-07-15,6
2018-07-22,6
2018-07-29,2
2018-08-05,3
2018-08-12,4
2018-08-19,7
2018-08-26,4
2018-09-02,6
2018-09-09,1
2018-09-16,6
2018-09-23,6
2018-09-30,2
2018-10-07,4
2018-10-14,5
2018-10-21,2
2018-10-28,4
2018-11-04,8
2018-11-11,1
2018-11-18,3
2018-11-25,9
2018-12-02,6
2018-12-09,6
2018-12-16,4
2018-12-23,4
2018-12-30,10
2019-01-06,6
